expiry,days,T,F,n_prints_inside,n_usable_otm_quotes,n_two_sided,open_interest_total,atm_iv_smile_pct,atm_iv_interp_pct,atm_iv_yf_nearest_strike_pct,straddle_strike,straddle_moneyness_pct,straddle_mid,straddle_bid,straddle_ask,straddle_mid_pct_spot,straddle_bid_pct_spot,straddle_ask_pct_spot,straddle_call_iv_own_pct,straddle_put_iv_own_pct,model_atm_fwd_straddle_pct_spot,smile_slope_b,smile_curv_c,smile_rmse_volpts,smile_x_range
2026-09-18,7,0.01918,170.04,0,6,52,24752,28.88,27.87,34.3,170.0,-0.11,5.44,4.43,6.45,3.196,2.603,3.79,30.1,27.86,3.185,-0.3346,11.4483,0.43,-0.030..0.084
2026-09-25,14,0.03836,170.16,0,3,33,1212,,32.56,40.26,170.0,-0.11,8.95,7.2,10.7,5.259,4.231,6.287,34.84,32.62,,,,,
2026-10-02,21,0.05753,170.26,0,3,31,1517,,28.57,38.1,170.0,-0.11,9.7,7.0,12.4,5.7,4.113,7.286,31.05,28.67,,,,,
2026-10-09,28,0.07671,170.55,0,4,19,421,30.56,30.22,38.73,170.0,-0.11,11.55,8.55,14.55,6.787,5.024,8.549,31.72,29.83,6.746,-0.1253,0.0852,0.75,-0.003..0.081
2026-10-16,35,0.09589,170.75,0,10,38,14709,31.11,30.74,32.37,170.0,-0.11,13.15,12.7,13.6,7.727,7.462,7.991,31.71,30.97,7.68,-0.1558,1.1575,0.46,-0.130..0.158
2026-10-23,42,0.11507,171.02,0,0,7,40,,,39.56,185.0,8.7,19.385,16.22,22.55,11.39,9.531,13.25,32.54,32.54,,,,,
2026-11-20,70,0.19189,171.19,1,12,34,4581,38.42,37.82,43.14,170.0,-0.11,23.05,20.5,25.6,13.544,12.045,15.042,40.2,37.74,13.388,-0.1589,0.2683,0.68,-0.132..0.251
2026-12-18,98,0.26861,171.76,1,16,60,26986,37.06,37.63,39.39,170.0,-0.11,26.35,25.05,27.65,15.483,14.719,16.247,37.58,37.83,15.277,-0.1475,0.3015,0.77,-0.241..0.292
2027-01-15,126,0.34532,172.41,1,19,61,71340,36.51,37.42,40.35,170.0,-0.11,30.0,27.9,32.1,17.627,16.393,18.861,38.18,37.61,17.069,-0.0945,0.1942,0.83,-0.405..0.288
2027-03-19,189,0.51781,173.54,2,20,59,7883,38.34,38.37,40.8,170.0,-0.11,36.825,33.95,39.7,21.638,19.948,23.327,39.45,36.82,21.914,-0.098,0.1808,0.75,-0.289..0.404
2027-04-16,217,0.59452,174.87,2,17,28,1511,37.72,37.84,39.97,170.0,-0.11,39.05,36.45,41.65,22.945,21.417,24.473,37.65,37.66,23.2,-0.1046,0.0753,0.62,-0.419..0.230
2027-06-17,279,0.76438,175.52,3,22,61,16813,39.26,39.35,41.54,170.0,-0.11,46.55,44.1,49.0,27.352,25.912,28.791,40.47,39.25,27.258,-0.0812,0.0249,0.58,-0.423..0.354
2027-09-17,371,1.01644,177.71,4,18,35,2374,39.05,39.06,41.96,170.0,-0.11,53.475,50.0,56.95,31.421,29.379,33.463,40.06,39.64,31.294,-0.0779,0.1441,0.46,-0.313..0.341
2027-12-17,462,1.26587,180.05,5,22,65,10649,39.7,40.2,41.33,170.0,-0.11,59.5,56.5,62.5,34.961,33.198,36.724,40.05,39.64,35.546,-0.065,-0.0101,0.53,-0.365..0.367
2028-01-21,497,1.36176,180.66,5,25,73,13265,39.63,40.4,41.79,170.0,-0.11,61.5,57.5,65.5,36.136,33.786,38.486,39.41,40.2,36.763,-0.068,0.0258,0.52,-0.409..0.438
