K,density,cdf
40.0,5.163776610313628e-05,5.163776610313701e-06
41.0,0.00011981796018771961,0.00011404240068868674
42.0,0.0001403476427395789,0.00024495928326152946
43.0,0.00016327521386791787,0.0003977139231551883
44.0,0.0001887272002147626,0.0005747744608954862
45.0,0.000216821532720692,0.0007787309334950698
46.0,0.000247666409927909,0.001012286038508601
47.0,0.0002813593412026589,0.0012782448687963144
48.0,0.00031798629739936363,0.0015795037464525256
49.0,0.00035762102942519863,0.0019190382944806962
50.0,0.00040032448805482987,0.002299890884869498
51.0,0.00044614441091717517,0.002725157603472524
52.0,0.0004951150369553872,0.0031979748689620942
53.0,0.0005472569563726614,0.0037215058386477276
54.0,0.0006025770683839684,0.004298926726265811
55.0,0.0006610686708115173,0.00493341315524211
56.0,0.0007227116680482134,0.005628126658986674
57.0,0.0007874728402082594,0.006386201428194853
58.0,0.0008553062517698838,0.007210731405094123
59.0,0.0009261536948179437,0.008104757804034197
60.0,0.0009999452349935226,0.00907125713719889
61.0,0.0010765998062475626,0.010113129808375079
62.0,0.0011560258536701103,0.011233189330830552
63.0,0.001238122023302553,0.012434152215737326
64.0,0.0013227778887349806,0.01371862856945588
65.0,0.0014098746900866636,0.015089113424736265
66.0,0.00149928610503694,0.016547978832097743
67.0,0.001590879016942428,0.018097466718560298
68.0,0.0016845142949731447,0.019739682524581897
69.0,0.0017800475764338764,0.021476589617016914
70.0,0.001877330013028841,0.02331000446986282
71.0,0.001976209042620993,0.025241592607152207
72.0,0.0020765291165578056,0.027272865286135844
73.0,0.002178132406965548,0.02940517690414948
74.0,0.002280859504209911,0.03163972310563691
75.0,0.0023845500699231133,0.03397753956106513
76.0,0.002489043472184754,0.03641950139107349
77.0,0.00259417938282491,0.03896632320191158
78.0,0.002699798337942101,0.04161855970335592
79.0,0.0028057422772971214,0.044376606870865414
80.0,0.0029118550352670537,0.047240703621453925
81.0,0.003017982800113068,0.05021093396456353
82.0,0.003123974541926245,0.05328722959428738
83.0,0.0032296823994177487,0.05646937288757671
84.0,0.003334962040849578,0.05975700027292018
85.0,0.0034396729732510305,0.0631496059339882
86.0,0.0035436788443424408,0.06664654581662549
87.0,0.0036468476836473635,0.0702470419030648
88.0,0.0037490521312131125,0.07395018672477074
89.0,0.0038501696273643225,0.07775494807927608
90.0,0.003950082582788649,0.08166017392511778
91.0,0.004048678499454223,0.08566459742263728
92.0,0.004145850098811295,0.08976684209646472
93.0,0.004241495388442513,0.09396542709251376
94.0,0.004335517723614287,0.09825877250472416
95.0,0.004427825863729206,0.10264520475122582
96.0,0.004518333962856607,0.10712296197337691
97.0,0.004606961584300936,0.11169019944459747
98.0,0.004693633668915557,0.1163449949630703
99.0,0.004778280515799651,0.12108535421734325
100.0,0.004860837702536409,0.1259092161032736
101.0,0.004941246048772114,0.1308144579837196
102.0,0.005019451510231252,0.13579890087087224
103.0,0.005095405101868378,0.14086031452624123
104.0,0.005169062796982165,0.1459964224616477
105.0,0.005240385415038967,0.1512049068349239
106.0,0.005309338492014343,0.15648341322903078
107.0,0.00537589217695764,0.16182955531153137
108.0,0.005440021079024133,0.16724091936182062
109.0,0.0055017041414586335,0.17271506866465414
110.0,0.005560924498461278,0.17824954776425733
111.0,0.00561766932549754,0.1838418865748627
