expiry,days,T,F,n_prints_inside,n_otm_quotes,atm_iv_own_pct,straddle_strike,straddle_mid,straddle_mid_pct_spot,skew_90_110_volpts
2026-09-11,7,0.01918,182.28,0,13,26.06,182.5,5.4,2.968,2.56
2026-09-18,14,0.03836,182.35,0,17,26.88,182.5,7.775,4.273,4.3
2026-09-25,21,0.05753,182.39,0,16,27.73,182.5,9.8,5.386,-0.79
2026-10-02,28,0.07671,182.59,0,20,29.37,182.5,11.5,6.321,3.71
2026-10-09,35,0.09589,182.93,0,19,30.5,182.5,13.725,7.544,3.02
2026-10-16,42,0.11507,182.85,0,17,29.77,180.0,14.925,8.203,2.79
2026-10-23,49,0.13425,183.05,0,23,30.63,182.5,16.5,9.069,2.83
2026-11-20,77,0.21107,183.52,1,22,36.58,180.0,24.35,13.384,1.78
2026-12-18,105,0.28779,184.57,1,24,36.03,180.0,28.475,15.651,1.83
2027-01-15,133,0.3645,184.88,1,25,35.52,180.0,30.95,17.011,1.74
2027-03-19,196,0.53699,186.15,2,25,36.64,180.0,39.45,21.683,1.59
2027-04-16,224,0.6137,187.05,2,25,36.45,180.0,41.625,22.878,1.81
2027-06-17,286,0.78356,188.18,3,25,38.25,180.0,49.225,27.056,1.74
2027-09-17,378,1.03562,190.15,4,24,38.71,180.0,56.775,31.205,1.43
2027-12-17,469,1.28505,192.42,5,24,39.42,180.0,64.575,35.492,1.31
2028-01-21,504,1.38094,193.28,5,24,39.15,180.0,66.8,36.715,1.35
