last_reported_quarter,source_origin_date,company_release_origin_date,calendar_origin_date,known_actuals_identical,issued_guides_identical,source_known_rows,calendar_known_rows,source_guides,calendar_guides,point_reuse_allowed
2022Q1,2022-05-03,2022-05-03,2022-06-15,True,True,7,7,3,3,True
2022Q2,2022-08-02,2022-08-02,2022-09-15,True,True,8,8,4,4,True
2022Q3,2022-11-01,2022-11-01,2022-12-16,True,True,9,9,5,5,True
2022Q4,2023-02-14,2023-02-14,2023-03-16,True,True,10,10,6,6,True
2023Q1,2023-05-09,2023-05-09,2023-06-15,True,True,11,11,7,7,True
2023Q2,2023-08-03,2023-08-03,2023-09-15,True,True,12,12,8,8,True
2023Q3,2023-11-01,2023-11-01,2023-12-16,True,True,13,13,9,9,True
2023Q4,2024-02-13,2024-02-13,2024-03-16,True,True,14,14,10,10,True
2024Q1,2024-05-08,2024-05-08,2024-06-15,True,True,15,15,11,11,True
2024Q2,2024-08-06,2024-08-06,2024-09-15,True,True,16,16,12,12,True
2024Q3,2024-11-07,2024-11-07,2024-12-16,True,True,17,17,13,13,True
2024Q4,2025-02-13,2025-02-13,2025-03-16,True,True,18,18,14,14,True
2025Q1,2025-05-01,2025-05-01,2025-06-15,True,True,19,19,15,15,True
2025Q2,2025-08-06,2025-08-06,2025-09-15,True,True,20,20,16,16,True
2025Q3,2025-11-06,2025-11-06,2025-12-16,True,True,21,21,17,17,True
2025Q4,2026-02-12,2026-02-12,2026-03-16,True,True,22,22,18,18,True
2026Q2,2026-09-15,2026-08-06,2026-09-15,True,True,24,24,20,20,True
